Name,Total_Structures_Looked,Total_Output,Running_Time,Ave/Conf(s),Ave/Out(s)
c17a,81,0,4.62e-02,5.71e-04,nan
c8s,27,25,7.60e-03,2.81e-04,3.04e-04
c5,1,1,3.84e-04,3.84e-04,3.84e-04
c17,19683,4875,3.80e+00,1.93e-04,7.80e-04
c15f,6561,2145,1.20e+00,1.84e-04,5.62e-04
c20n,129140163,,,,
c15e,6561,2323,1.24e+00,1.89e-04,5.34e-04
c18n,14348907,5425739,1.98e+03,1.38e-04,3.65e-04
c9,81,81,2.03e-02,2.51e-04,2.51e-04
c12p1,27,9,1.11e-02,4.10e-04,1.23e-03
c19,531441,62036,3.56e+01,6.70e-05,5.74e-04
c9s,81,65,2.04e-02,2.52e-04,3.14e-04
c15a,6561,2244,1.22e+00,1.86e-04,5.45e-04
c7c,27,25,6.17e-03,2.28e-04,2.47e-04
c18,59049,19740,1.16e+01,1.97e-04,5.88e-04
c15,6561,2238,1.20e+00,1.83e-04,5.36e-04
c7n,81,71,1.56e-02,1.92e-04,2.19e-04
c8,3,3,1.15e-03,3.84e-04,3.84e-04
c15c,6561,2160,1.20e+00,1.83e-04,5.57e-04
c12p,27,9,1.04e-02,3.85e-04,1.15e-03
c15helix,6561,2873,1.51e+00,2.30e-04,5.25e-04
c21,531441,131183,7.84e+01,1.48e-04,5.98e-04
c15b,6561,2210,1.19e+00,1.82e-04,5.40e-04
c8si,27,25,7.33e-03,2.72e-04,2.93e-04
c26,129140163,2826,3.86e+00,2.99e-08,1.36e-03
c17l,4782969,1963497,7.27e+02,1.52e-04,3.70e-04
c5n,9,9,1.61e-03,1.79e-04,1.79e-04
c15d,6561,2193,1.20e+00,1.83e-04,5.47e-04
c6,3,3,7.94e-04,2.65e-04,2.65e-04
c10n,2187,1541,4.48e-01,2.05e-04,2.91e-04
c6n,27,25,4.61e-03,1.71e-04,1.84e-04
c12p0,27,9,1.10e-02,4.07e-04,1.22e-03
c4,3,3,6.71e-04,2.24e-04,2.24e-04
c9n,729,553,1.48e-01,2.03e-04,2.68e-04
c8a,27,25,7.25e-03,2.68e-04,2.90e-04
c15g,6561,2283,1.20e+00,1.83e-04,5.25e-04
c16,177147,56468,2.52e+01,1.42e-04,4.47e-04
c7,3,3,1.01e-03,3.38e-04,3.38e-04
